app,time,tot_time
com.disney.disneyplus,3455,0
com.snapchat.android,3425,0
com.facebook.lite,3364,0
com.ubercab,3407,0
com.mcdonalds.mobileapp,3356,0
com.netflix.mediaclient,3336,0
com.discord,3328,0
com.duolingo,3495,0
com.ebay.mobile,3419,0
com.outfit7.talkingnewsfree,3367,0
com.pinterest,3620,0
tv.twitch.android.app,3325,0
kjv.bible.kingjamesbible,3388,0
com.tinder,3419,0
com.expedia.bookings,3420,0
com.indeed.android.jobsearch,3283,0
com.contextlogic.wish,3418,0
com.alibaba.intl.android.apps.poseidon,3442,0
com.meditation.deepsleep.relax,3351,0
me.lyft.android,3475,0
com.yahoo.mobile.client.android.mail,3374,0
com.linkedin.android,3321,0
com.yahoo.mobile.client.android.finance,3556,0
tv.pluto.android,3308,0
com.gamma.scan,3283,0
org.telegram.messenger.web,3532,0
com.whatsapp,3508,0
com.instagram.android,3523,0
com.facebook.orca,3606,0
com.zzkko,3382,0
com.disney.disneyplus,3376,0
com.snapchat.android,3328,0
com.facebook.lite,3368,0
com.ubercab,3343,0
com.mcdonalds.mobileapp,3309,0
com.netflix.mediaclient,3384,0
com.discord,3517,0
com.duolingo,3569,0
com.ebay.mobile,3459,0
com.outfit7.talkingnewsfree,3335,0
com.pinterest,3321,0
tv.twitch.android.app,3331,0
kjv.bible.kingjamesbible,3449,0
com.tinder,3586,0
com.expedia.bookings,3415,0
com.indeed.android.jobsearch,3302,0
com.contextlogic.wish,3344,0
com.alibaba.intl.android.apps.poseidon,3517,0
com.meditation.deepsleep.relax,3486,0
me.lyft.android,3277,0
com.yahoo.mobile.client.android.mail,3410,0
com.linkedin.android,3356,0
com.yahoo.mobile.client.android.finance,3394,0
tv.pluto.android,3559,0
com.gamma.scan,3310,0
org.telegram.messenger.web,3814,0
com.whatsapp,3590,0
com.instagram.android,3527,0
com.facebook.orca,3667,0
com.zzkko,3804,0
com.disney.disneyplus,3347,0
com.snapchat.android,3363,0
com.facebook.lite,3349,0
com.ubercab,3480,0
com.mcdonalds.mobileapp,3646,0
com.netflix.mediaclient,3493,0
com.discord,3354,0
com.duolingo,3402,0
com.ebay.mobile,3503,0
com.outfit7.talkingnewsfree,3359,0
com.pinterest,3664,0
tv.twitch.android.app,3366,0
kjv.bible.kingjamesbible,3371,0
com.tinder,3495,0
com.expedia.bookings,3439,0
com.indeed.android.jobsearch,3331,0
com.contextlogic.wish,3375,0
com.alibaba.intl.android.apps.poseidon,3412,0
com.meditation.deepsleep.relax,3386,0
me.lyft.android,3563,0
com.yahoo.mobile.client.android.mail,3409,0
com.linkedin.android,3373,0
com.yahoo.mobile.client.android.finance,3482,0
tv.pluto.android,3308,0
com.gamma.scan,3294,0
org.telegram.messenger.web,3525,0
com.whatsapp,3575,0
com.instagram.android,3506,0
com.facebook.orca,3624,0
com.zzkko,3397,0
com.disney.disneyplus,3576,0
com.snapchat.android,3364,0
com.facebook.lite,3351,0
com.ubercab,3409,0
com.mcdonalds.mobileapp,3377,0
com.netflix.mediaclient,3375,0
com.discord,3466,0
com.duolingo,3662,0
com.ebay.mobile,3560,0
